time,open,high,low,close,Up Marker,Down Marker,VWAP
2026-04-14T20:45:00-05:00,26034.5,26036,26033,26035,0,0,26014.738821183117
2026-04-14T20:46:00-05:00,26035.25,26040,26034.25,26037,0,0,26014.84447945074
2026-04-14T20:47:00-05:00,26037,26038.25,26035.75,26037.75,0,0,26014.883832257536
2026-04-14T20:48:00-05:00,26037.75,26044.25,26037.75,26041.5,1,0,26015.087663929058
2026-04-14T20:49:00-05:00,26041.75,26042.5,26037.75,26038.25,0,0,26015.19514661547
2026-04-14T20:50:00-05:00,26038,26040.25,26035.75,26036.5,0,0,26015.28092524575
2026-04-14T20:51:00-05:00,26036.75,26040.5,26036.5,26039.5,0,0,26015.331194485156
2026-04-14T20:52:00-05:00,26039.5,26041.25,26038,26039.25,0,0,26015.378258507342
2026-04-14T20:53:00-05:00,26039,26039.5,26035,26035.75,0,0,26015.431926960915
2026-04-14T20:54:00-05:00,26035.75,26038.75,26035.25,26038,0,0,26015.459157297137
2026-04-14T20:55:00-05:00,26038.25,26039.5,26037.25,26038.5,0,0,26015.486683402727
2026-04-14T20:56:00-05:00,26039,26040.75,26038.75,26040,0,0,26015.545445888543
2026-04-14T20:57:00-05:00,26039.5,26040.25,26038.25,26038.25,0,0,26015.572121949128
2026-04-14T20:58:00-05:00,26038,26039,26036.5,26037.75,0,0,26015.596698917387
2026-04-14T20:59:00-05:00,26038.5,26039.5,26036.5,26038.25,0,0,26015.625415034894
2026-04-14T21:00:00-05:00,26038.25,26038.5,26033.5,26034.75,0,0,26015.705377016504
2026-04-14T21:01:00-05:00,26034.5,26035.5,26031.25,26035.5,0,0,26015.780647215703
2026-04-14T21:02:00-05:00,26035,26036.5,26031.75,26032,0,0,26015.82021110022
2026-04-14T21:03:00-05:00,26032.25,26035,26032,26033,0,0,26015.84378911385
2026-04-14T21:04:00-05:00,26033.25,26037.25,26033,26034.5,0,0,26015.885424647266
2026-04-14T21:05:00-05:00,26034.75,26036.75,26034.5,26035.5,0,0,26015.92771342995
2026-04-14T21:06:00-05:00,26036,26036.5,26033.25,26034.5,0,0,26015.966072865598
2026-04-14T21:07:00-05:00,26034.25,26036,26034,26035.5,0,0,26015.990122960648
2026-04-14T21:08:00-05:00,26034.75,26035.75,26034.25,26034.25,0,0,26016.001864640155
2026-04-14T21:09:00-05:00,26034.25,26036,26032,26032,0,0,26016.02767969362
2026-04-14T21:10:00-05:00,26032.5,26032.5,26025.75,26028.25,0,1,26016.10365521144
2026-04-14T21:11:00-05:00,26028,26028.5,26022,26025,0,0,26016.171737231518
2026-04-14T21:12:00-05:00,26024.5,26026.5,26022.75,26023.5,0,0,26016.187231401982
2026-04-14T21:13:00-05:00,26023.25,26025.5,26022.5,26025.5,0,0,26016.20696517921
2026-04-14T21:14:00-05:00,26026,26026.75,26023.5,26024,0,0,26016.230502352057
2026-04-14T21:15:00-05:00,26023.75,26026.75,26023,26026.25,0,0,26016.256806026126
2026-04-14T21:16:00-05:00,26026.75,26029.25,26025.25,26025.75,0,0,26016.29351113949
2026-04-14T21:17:00-05:00,26025.75,26027.25,26022,26024.75,0,0,26016.32084314458
2026-04-14T21:18:00-05:00,26024.75,26026.75,26023.75,26024.75,0,0,26016.33101501355
2026-04-14T21:19:00-05:00,26025.25,26026,26024.25,26025.5,0,0,26016.337762210715
2026-04-14T21:20:00-05:00,26025.25,26027.5,26024.5,26026,0,0,26016.35255338576
2026-04-14T21:21:00-05:00,26025.75,26026,26020.25,26022.75,0,0,26016.388575869267
2026-04-14T21:22:00-05:00,26023.25,26024.5,26021.25,26021.25,0,0,26016.40224006635
2026-04-14T21:23:00-05:00,26021.75,26022.75,26020,26021.25,0,0,26016.41678374517
2026-04-14T21:24:00-05:00,26020.75,26023.25,26020.75,26021.75,1,0,26016.425100982957
2026-04-14T21:25:00-05:00,26021.75,26024,26020.25,26021,0,0,26016.434672718053
2026-04-14T21:26:00-05:00,26020.75,26021,26016.25,26016.5,0,0,26016.44182
2026-04-14T21:27:00-05:00,26017,26018.25,26014.5,26015.5,0,0,26016.440531877168
2026-04-14T21:28:00-05:00,26015.75,26016.25,26011.75,26013,0,0,26016.425399678094
2026-04-14T21:29:00-05:00,26012.5,26014.5,26011.5,26011.75,0,0,26016.417776083505
2026-04-14T21:30:00-05:00,26012.25,26013.25,26008.5,26008.5,0,0,26016.391324767596
2026-04-14T21:31:00-05:00,26009,26010,26006,26006.5,0,0,26016.335337956774
2026-04-14T21:32:00-05:00,26006.75,26009.75,26005,26005.5,0,0,26016.289204031335
2026-04-14T21:33:00-05:00,26005.5,26006.75,26003.75,26006.25,0,0,26016.251823341318
2026-04-14T21:34:00-05:00,26006.25,26006.25,25997,26000,0,1,26016.08376
2026-04-14T21:35:00-05:00,26000.25,26000.5,25991.5,25995.5,0,0,26015.886685798556
2026-04-14T21:36:00-05:00,25996,26000.25,25993.5,25997.25,0,0,26015.755604115744
2026-04-14T21:37:00-05:00,25996.75,26000.75,25994.75,25996.25,0,0,26015.691264920235
2026-04-14T21:38:00-05:00,25996,25998.5,25995.5,25998,0,0,26015.65583673532
2026-04-14T21:39:00-05:00,25998.25,26000.25,25995.75,25996,0,0,26015.583196252926
2026-04-14T21:40:00-05:00,25996.25,25998,25992.5,25996,0,0,26015.483471878666
2026-04-14T21:41:00-05:00,25996.25,25997.5,25994,25994,0,0,26015.453065318787
2026-04-14T21:42:00-05:00,25995,25995,25990,25992.5,0,1,26015.297747916167
2026-04-14T21:43:00-05:00,25993.25,25998.5,25992.5,25998,0,0,26015.216466441467
2026-04-14T21:44:00-05:00,25997.25,26000,25997.25,25999.25,1,0,26015.151712146013
2026-04-14T21:45:00-05:00,25998.5,26001.25,25997,25998.75,0,0,26015.090878168332
2026-04-14T21:46:00-05:00,25999.5,26002.75,25997.25,25999,0,0,26015.04667
2026-04-14T21:47:00-05:00,25999.25,26000,25996.25,25997.5,0,0,26015.021926952024
2026-04-14T21:48:00-05:00,25997.25,26001.75,25997.25,26000.75,1,0,26014.988392460167
2026-04-14T21:49:00-05:00,26000.75,26001.5,25999.75,26000.25,0,0,26014.968834555097
2026-04-14T21:50:00-05:00,25999.75,26002.75,25999.75,26002.25,1,0,26014.94697199587
2026-04-14T21:51:00-05:00,26002.5,26002.75,26000,26002.5,0,0,26014.92850564468
2026-04-14T21:52:00-05:00,26002.75,26003,26000.25,26000.75,0,0,26014.909629510956
2026-04-14T21:53:00-05:00,26000.5,26001.5,25997.75,25999.25,0,0,26014.87664709835
2026-04-14T21:54:00-05:00,26000,26001.5,25999.25,26000,0,0,26014.85990883499
2026-04-14T21:55:00-05:00,25999.25,26000,25996.5,25998.5,0,0,26014.82362977322
2026-04-14T21:56:00-05:00,25997.5,26000.5,25996.75,25999.75,0,0,26014.802228910867
2026-04-14T21:57:00-05:00,25999.75,25999.75,25997.5,25999.25,0,1,26014.79150802835
2026-04-14T21:58:00-05:00,25998.75,25998.75,25994.25,25995.25,0,1,26014.745019899838
2026-04-14T21:59:00-05:00,25995.25,25996.25,25992.5,25996,0,0,26014.667398834965
2026-04-14T22:00:00-05:00,25995.75,26000.75,25994.75,26000.5,0,0,26014.61546
2026-04-14T22:01:00-05:00,26000.25,26002,25998.75,25998.75,0,0,26014.566868534486
2026-04-14T22:02:00-05:00,25999,26002.75,25996,26001.25,0,0,26014.52241951375
2026-04-14T22:03:00-05:00,26001,26003.25,25999.75,26000,0,0,26014.49391372365
2026-04-14T22:04:00-05:00,26000.5,26001.5,25998.5,25999.5,0,0,26014.467380919392
2026-04-14T22:05:00-05:00,25999.5,26000.5,25997,25997.75,0,0,26014.442678972846
2026-04-14T22:06:00-05:00,25997.75,26000,25996.5,25998,0,0,26014.417949370945
2026-04-14T22:07:00-05:00,25998.5,26000.25,25998.25,25998.75,0,0,26014.409084895702
2026-04-14T22:08:00-05:00,25999.25,26001.25,25999.25,26000.75,1,0,26014.39558
2026-04-14T22:09:00-05:00,26001.5,26002.5,26000.5,26001.75,0,0,26014.37914284976
2026-04-14T22:10:00-05:00,26002,26003.25,26000,26001,0,0,26014.359644372616
2026-04-14T22:11:00-05:00,26001.25,26007,26000,26001.75,0,0,26014.31252853392
2026-04-14T22:12:00-05:00,26001.75,26003.25,26000.5,26001.25,0,0,26014.303117720345
2026-04-14T22:13:00-05:00,26001.5,26002.75,25999.5,26000.75,0,0,26014.286978815133
2026-04-14T22:14:00-05:00,26000.75,26001.75,25998,25998.25,0,0,26014.27332
2026-04-14T22:15:00-05:00,25998,25998.5,25995.25,25998.5,0,0,26014.22883571983
2026-04-14T22:16:00-05:00,25998.75,26003.75,25998.75,26002.75,1,0,26014.19863242491
2026-04-14T22:17:00-05:00,26003,26003,26000.5,26001.25,0,1,26014.186430803595
2026-04-14T22:18:00-05:00,26000.5,26000.5,25996.75,25997.5,0,1,26014.166175203707
2026-04-14T22:19:00-05:00,25998.25,25999.5,25997.75,25999.5,0,0,26014.157006334357
