time,open,high,low,close
2026-04-16T23:45:00-05:00,26469.5,26470.5,26467,26470.5
2026-04-16T23:46:00-05:00,26470.75,26475.5,26470,26474
2026-04-16T23:47:00-05:00,26473.5,26476.25,26471.25,26473
2026-04-16T23:48:00-05:00,26472.5,26473.5,26470.75,26471.25
2026-04-16T23:49:00-05:00,26471,26471,26468.5,26470.25
2026-04-16T23:50:00-05:00,26470.5,26472.25,26469.5,26472.25
2026-04-16T23:51:00-05:00,26472,26472.5,26469.25,26470
2026-04-16T23:52:00-05:00,26470.5,26470.75,26468.5,26468.5
2026-04-16T23:53:00-05:00,26469,26469,26465,26466
2026-04-16T23:54:00-05:00,26466.25,26467.75,26464.25,26466.5
2026-04-16T23:55:00-05:00,26467,26467,26465,26465.75
2026-04-16T23:56:00-05:00,26466.75,26466.75,26465.75,26465.75
2026-04-16T23:57:00-05:00,26465.75,26466.25,26457.75,26464.25
2026-04-16T23:58:00-05:00,26463.75,26465.5,26462,26463
2026-04-16T23:59:00-05:00,26462.75,26463.5,26461.5,26463
2026-04-17T00:00:00-05:00,26463.25,26464.75,26458.75,26459.75
2026-04-17T00:01:00-05:00,26459.25,26461,26452.75,26453
2026-04-17T00:02:00-05:00,26452.75,26454,26446,26447
2026-04-17T00:03:00-05:00,26447,26449,26443.25,26445
2026-04-17T00:04:00-05:00,26444.75,26450.25,26443.5,26450.25
2026-04-17T00:05:00-05:00,26449.5,26454,26448,26454
2026-04-17T00:06:00-05:00,26453.5,26455.25,26451,26453.5
2026-04-17T00:07:00-05:00,26453.75,26455.25,26451.5,26454.25
2026-04-17T00:08:00-05:00,26454,26457.75,26451,26457
2026-04-17T00:09:00-05:00,26457,26458.5,26455,26455.5
2026-04-17T00:10:00-05:00,26455.25,26455.75,26454.25,26454.25
2026-04-17T00:11:00-05:00,26454.5,26454.5,26451.25,26452
2026-04-17T00:12:00-05:00,26451.25,26452.25,26446.25,26451.25
2026-04-17T00:13:00-05:00,26451.75,26459.5,26451.75,26456.5
2026-04-17T00:14:00-05:00,26456.75,26457.5,26455.25,26457.25
2026-04-17T00:15:00-05:00,26457.75,26458.75,26456.25,26458.5
2026-04-17T00:16:00-05:00,26458.25,26458.75,26454.75,26455
2026-04-17T00:17:00-05:00,26455.5,26455.5,26451.25,26452
2026-04-17T00:18:00-05:00,26452.25,26452.25,26449,26451
2026-04-17T00:19:00-05:00,26451,26451.25,26449,26449.25
2026-04-17T00:20:00-05:00,26449.5,26455.25,26449,26452.5
2026-04-17T00:21:00-05:00,26452.5,26452.75,26450.5,26451.5
2026-04-17T00:22:00-05:00,26451.5,26454,26451.25,26453.5
2026-04-17T00:23:00-05:00,26453.5,26455,26452.75,26453.5
2026-04-17T00:24:00-05:00,26454.75,26457.5,26454.5,26456.25
2026-04-17T00:25:00-05:00,26456.5,26458.75,26455,26457.25
2026-04-17T00:26:00-05:00,26456.5,26456.5,26454,26454.5
2026-04-17T00:27:00-05:00,26455,26456.25,26454.75,26455.25
2026-04-17T00:28:00-05:00,26455.25,26456.25,26453.75,26454.25
